Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
Social Progress Index,Social Progress Imperative,United Arab Emirates,2026,Latest,Equal Access To Quality Healthcare (0=Unequal; 4=Equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic healthcare guaranteed to all, sufficient to enable them to exercise their basic political rights as adult citizens?""",31,14,3.462,86.55,Survey,"Varieties of Democracy (V-Dem), Dataset Version 14",No,Denmark,Qatar,Qatar,Qatar,Japan,Gender Balance,Gender Balance Council,Not Available
Social Progress Index,Social Progress Imperative,United Arab Emirates,2026,Latest,Equal Access To Quality Education (0=Unequal; 4=Equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic education guaranteed to all, sufficient to enable them to exercise their basic rights as adult citizens?""",33,23,3.305,82.63,Survey,"Varieties of Democracy (V-Dem), Dataset Version 14",No,Norway,Qatar,Qatar,Qatar,Japan,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2025,Latest,Leadership opportunities for women,"Average answer to the question: In your country, to what extent do companies give equal opportunities to rise to positions of leadership to women? [1 = Not at all; 7 = To a great extent]",16,-,5.65,77.52,-,"World Economic Forum, Executive Opinion Survey 2025 (http:/reports.weforum.org). Data Year: 2020–2025",No,Lithuania,Bahrain,Bahrain,Bahrain,Saudi Arabia,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2025,Latest,Economic Empowerment Of Women,"The Women, Business And The Law Index Is A Composite Indicator That Provides A Measure Of The Degree Of Gender Equality With Respect To Legal Rights In Economic Participation. The Index Is Composed Of Eight Pillars, Where Each Pillar Represents A Different Aspect Of A Woman’S Life: (1) Mobility, (2) Workplace, (3) Pay, (4) Marriage, (5) Parenthood, (6) Entrepreneurship, (7) Assets, And (8) Pension. The Index Is Measured On A Scale Of 0 (Women Have No Legal Economic Rights Equal To Those Of Men) To 100 (Women And Men Have Equal Economic Opportunities).",72,69,82.5,82.5,Index,"World Bank (2024). Women, Business and the Law 2024. Washington, DC: World Bank. (https:/wbl.worldbank.org/en/wbl)",Yes,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2025,Latest,Gender Parity In High-Skilled Jobs,"Gender Parity In High-Skilled Jobs Refers To The Ratio Of Managers, Professionals, Or Technicians And Associate Professionals Who Are Female To Those Who Are Male. Possible Values Range From 0 (Total Inequality) To 1 (Perfect Equality). The Parity Index Is Adjusted Following The Methodology Of The United Nations Education, Scientific And Cultural Organization (Unesco). The Occupations Correspond To Skill Levels 3 And 4 (High) In The International Standard Classification Of Occupations 2008 (Isco-08).",116,119,0.28,8.84,Data,"International Labour Organization, ILOSTAT (https:/ilostat.ilo.org/). Data Year: 2016–2025",Yes,Argentina,Lebanon,Israel,Kuwait,Argentina,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
Social Progress Index,Social Progress Imperative,United Arab Emirates,2025,-,Equal Access To Quality Healthcare (0=Unequal; 4=Equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic healthcare guaranteed to all, sufficient to enable them to exercise their basic political rights as adult citizens?""",14,17,3.679,91.97,Survey,"Varieties of Democracy (V-Dem), Dataset Version 14",No,Denmark,United Arab Emirates,United Arab Emirates,United Arab Emirates,Japan,Gender Balance,Gender Balance Council,Not Available
Social Progress Index,Social Progress Imperative,United Arab Emirates,2025,-,Equal Access To Quality Education (0=Unequal; 4=Equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic education guaranteed to all, sufficient to enable them to exercise their basic rights as adult citizens?""",23,20,3.514,87.85,Survey,"Varieties of Democracy (V-Dem), Dataset Version 14",No,Multiple Countries,Qatar,Qatar,Qatar,Japan,Gender Balance,Gender Balance Council,Not Available
Sustainable Development Goals Index,Bertelsmann Stiftung and SDSN,United Arab Emirates,2025,Latest,Seats held by women in national parliament (%),"The number of seats held by women in single or lower chambers of national parliaments, expressed as a percentage of all occupied seats. Seats refer to the number of parliamentary mandates, or the number of members of parliament.",1,1,50,100,Data,IPU,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2025,Latest,Females in parliament,"Share of seats in national parliament: Proportion of seats held by women in a lower/ single house or /and an upper house/ senate expressed as percentage of total seats. For countries with bicameral legislative systems, the share of seats is calculated based on both houses. China Hong Kong: percentage of Executive Council seats hold by women.",1,2,50,-,Data,"World Development Indicators (World Bank),National sources",No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2025,Latest,Gender inequality,"A composite measure reflecting inequality in achievement between women and men in three dimensions: reproductive health, empowerment and the labour market. Hong Kong: local calculation based on UNDP methodology.",13,7,0.04,-,Data,"UNDP Human Development Report /  http://hdr.undp.org/en/data,National sources",No,Denmark,United Arab Emirates,United Arab Emirates,United Arab Emirates,France,Gender Balance,Gender Balance Council,Not Available
